Transliteration system code,Transliteration system name,Language(s) ISO 639-2,Source script code,Target script code,Specification,Remarks
iso-slv,Information and documentation – Transliteration of Cyrillic characters into Latin characters – Slavic and non-Slavic languages,sla,Cyrl,Latn,ISO 9:1995,
iso-ara,Documentation – Transliteration of Arabic characters into Latin characters,ara,Arab,Latn,ISO 233:1984,
iso-ara-s,Information and documentation – Transliteration of Arabic characters into Latin characters – Part 2: Arabic language – Simplified transliteration,ara,Arab,Latn,ISO 233-2:1993,
iso-per,Information and documentation – Transliteration of Arabic characters into Latin characters – Part 3: Persian language – Simplified transliteration,per,Arab,Latn,ISO 233-3:1999,
iso-heb,Documentation – Transliteration of Hebrew characters into Latin characters,heb,Hebr,Latn,ISO 259:1984,
iso-heb-s,Documentation – Transliteration of Hebrew characters into Latin characters. – Part 2: Simplified transliteration,heb,Hebr,Latn,ISO 259-2:1994,
iso-gre,Information and documentation – Conversion of Greek characters into Latin characters,gre,Grek,Latn,ISO 843:1997,
iso-jpn,Documentation – Romanization of Japanese (kana script),jpn,Jpan,Latn,ISO 3602:1989,
iso-cmn,Information and documentation – Romanization of Chinese,cmn,"Hant, Hans",Latn,ISO 7098:2015,
iso-geo,Information and documentation – Transliteration of Georgian characters into Latin characters,geo,Geor,Latn,ISO 9984:1996,
iso-arm,Information and documentation – Transliteration of Armenian characters into Latin characters,arm,Armn,Latn,ISO 9985:1996,
iso-tha,Information and documentation – Transliteration of Thai,tha,Thai,Latn,ISO 11940:1998,
iso-tha-s,Information and documentation – Transliteration of Thai characters into Latin characters – Part 2: Simplified transcription of Thai language,tha,Thai,Latn,ISO 11940-2:2007,
iso-inc,Information and documentation – Transliteration of Devanagari and related Indic scripts into Latin characters,inc,Deva,Latn,ISO 15919:2001,
iso-atn,Transliteration of scripts in use in Thailand – Part 1: Transliteration of Akson-Thai-Noi,tha,Thai,Latn,ISO 20674-1,